baso,cl,cre,crp,egfr,eos,hct,hgb,k,ly,mch,mchc,mcv,mono,mpv,neut,nrbca,plt,rbc,rdw,sodium,urea,wbc,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8891
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4296
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,522
False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,297
True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,291
False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,187
False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,185
True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,181
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,165
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,126
False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,57
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,56
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,41
True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,34
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,26
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23
True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,14
False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,14
True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,12
False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,11
True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,10
False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9
True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,8
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,8
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,8
True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,7
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6
True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,6
False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,5
True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,5
False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,5
False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,4
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,4
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,4
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
False,True,True,True,True,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,2
False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,2
False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,True,2
False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
True,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,True,2
True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,2
True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,2
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1
True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,1
True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,1
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,1
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,1
False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,True,1
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,1
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,1
False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,1
False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,False,True,1
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,1
False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,False,True,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,1
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,1
False,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,1
True,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,1
True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1
False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,1
True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,1
True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,1
True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,1
False,True,True,True,True,False,True,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,1
True,False,False,True,False,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,1
False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,1
False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,1
True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,1
False,True,True,False,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,1
False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,1
True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,1
False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1
True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1
True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,1
