id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,gamma,prec_score,matthews_corrcoef,hinge_loss,f1_score,log_loss,probability,C,max_iter,imb_spec_micro,zero_one_loss,rec_score,cohen_kappa_score,avg_prec_score,pr_curve,roc_auc_score,hamming_loss,accuracy,fbeta_score,imb_sens_micro
HOS,0,3.0276503540974917,0.0024307904918614183,0.003288728442002681,0.012782115859213138,0.009580137682581778,0.005557528480195798,0.010102017095918807,0.0050505919762588595,7.260241808033055,11.017158334969043,11.017158334969041,7.260241808033056,0.0,0.0,0.004577996340207544,0.0106450140071397,0.009580137682581778,0.012782115859213138,0.004479956025854221,0.006710770409248299,0.08988481079438541,0.19611572756033763,0.012782115859213131,0.012782115859213138,0.0,0.0050505919762588595,0.010102017095918807,,0.005050591976258864,0.17444512779738502,0.0,0.0,0.0,0.0050505919762588595,0.005050591976258869,0.0050505919762588595,0.01012584252884793,0.007022187570086838,,0.0050967186899807644,0.005050591976258899,0.0050505919762588595,0.005050591976258858,0.0050505919762588595
HOS,1,3.0276503540974917,0.07586475925665877,0.04837902754026155,0.020383374033889585,0.0,0.05321412971622005,0.044372443361026255,0.006739089901774884,11.577756451249286,0.0,0.0,11.577756451249273,0.0,0.0,0.0046462472670414125,0.0,0.0,0.020383374033889585,0.0032948885000503424,0.037432930572598534,0.02233800124904044,,0.020383374033889574,0.020383374033889585,0.0,0.006739089901774884,0.044372443361026255,,0.006739089901774884,0.23275991922260364,0.0,0.0,0.0,0.006739089901774884,0.006739089901774879,0.006739089901774884,0.026493856528356282,0.013644284132114675,,0.010191687016944777,0.0067390899017748945,0.006739089901774884,0.0067390899017748754,0.006739089901774884
HOS,2,3.0276503540974917,0.001405730723505126,0.0028999710050466995,0.006946235084002519,0.007184664758181895,0.0017902518030729253,0.003771800338058474,0.0030189295645844045,3.9454615277134177,8.262364471909125,8.26236447190915,3.9454615277134124,0.0,0.0,0.00187865796439598,0.0044682758326117225,0.007184664758181895,0.006946235084002519,0.0035107109443936204,0.0021557791213274668,0.024889034214769908,0.04283533907427598,0.006946235084002483,0.006946235084002519,0.0,0.0030189295645844045,0.003771800338058474,,0.0030189295645844045,0.1042737047299795,0.0,0.0,0.0,0.0030189295645844045,0.0030189295645843984,0.0030189295645844045,0.004073625097849045,0.0021262988501959215,,0.0017824803294910563,0.0030189295645843984,0.0030189295645844045,0.0030189295645844105,0.0030189295645844045
HOS,3,3.0276503540974917,0.0010610754318370237,0.0032357228586608975,0.008512424584257595,0.005250298798270364,0.0032843020441799308,0.00554911284233614,0.002560088456351703,4.835057163858322,6.037843618010965,6.0378436180109505,4.835057163858338,0.0,0.0,0.0035255630558913144,0.00763305660040252,0.005250298798270364,0.008512424584257595,0.0020681670463817132,0.0037100358174498417,0.21679152997005854,0.4482069999062484,0.008512424584257617,0.008512424584257595,0.0,0.002560088456351703,0.00554911284233614,,0.0025600884563516816,0.0884240382421658,0.0,0.0,0.0,0.002560088456351703,0.0025600884563516985,0.002560088456351703,0.005532963903429504,0.005091771278651169,,0.0030838924498315387,0.0025600884563516868,0.002560088456351703,0.002560088456351703,0.002560088456351703
HOS,4,3.0276503540974917,0.001679587157950196,0.003044867912190795,0.009061154490900841,0.0008980830947727599,0.0067004075487898315,0.006301143894228831,0.0027191071853092334,5.1467357508316764,1.0327955589886206,1.0327955589886444,5.146735750831671,0.0,0.0,0.0026621933342831816,0.0038025017319846355,0.0008980830947727599,0.009061154490900841,0.0015293064513545983,0.008387801166975866,0.027472341287040045,25.639603409214438,0.009061154490900851,0.009061154490900841,0.0,0.0027191071853092334,0.006301143894228831,,0.0027191071853092316,0.09391445573069333,0.0,0.0,0.0,0.0027191071853092334,0.0027191071853092576,0.0027191071853092334,0.00857190489429674,0.00532628008702154,,0.004305048561369241,0.0027191071853092433,0.0027191071853092334,0.0027191071853092334,0.0027191071853092334
HOS,5,3.0276503540974917,0.0015475685737039368,0.0036056038282384433,0.009138739144599428,0.007863570994927847,0.0027866415076185026,0.00511894938891458,0.0032611052219580377,5.190803834132482,9.043106644167015,9.043106644167024,5.1908038341324785,0.0,0.0,0.0029342041366286747,0.005970404269631817,0.007863570994927847,0.009138739144599428,0.003507133342631081,0.003325958479207649,0.04887307751193435,0.07399246360971777,0.00913873914459944,0.009138739144599428,0.0,0.0032611052219580377,0.00511894938891458,,0.003261105221958037,0.112638165455522,0.0,0.0,0.0,0.0032611052219580377,0.003261105221958016,0.0032611052219580377,0.005280908153978317,0.00320331880834247,,0.002596189201222977,0.0032611052219580013,0.0032611052219580377,0.0032611052219580377,0.0032611052219580377
HOS,6,3.0276503540974917,0.0011443806785807777,0.0015421932729640017,0.022316679307593,0.012029858533012812,0.00932751749256584,0.0079156179004905,0.002496811477244175,12.67587384671281,13.834337312964752,13.834337312964754,12.67587384671281,0.0,0.0,0.0057850597152552755,0.006261205274424986,0.012029858533012812,0.022316679307593,0.003337760880000058,0.010515034605108034,0.05629935833679618,0.06916620689225374,0.02231667930759297,0.022316679307593,0.0,0.002496811477244175,0.0079156179004905,,0.002496811477244143,0.08623947784854552,0.0,0.0,0.0,0.002496811477244175,0.0024968114772441555,0.002496811477244175,0.008384678773436642,0.004089019073969223,,0.005743107548346007,0.0024968114772441555,0.002496811477244175,0.002496811477244143,0.002496811477244175
HOS,7,3.0276503540974917,0.18918049496283654,0.20040429045241803,0.020383374033889585,0.0,0.05321412971622005,0.044372443361026255,0.006739089901774884,11.577756451249286,0.0,0.0,11.577756451249273,0.0,0.0,0.0046462472670414125,0.0,0.0,0.020383374033889585,0.0032948885000503424,0.037432930572598534,0.02233800124904044,,0.020383374033889574,0.020383374033889585,0.0,0.006739089901774884,0.044372443361026255,,0.006739089901774884,0.23275991922260364,0.0,0.0,0.0,0.006739089901774884,0.006739089901774879,0.006739089901774884,0.026493856528356282,0.013644284132114675,,0.010191687016944777,0.0067390899017748945,0.006739089901774884,0.0067390899017748754,0.006739089901774884
HOS,8,3.0276503540974917,0.0005711640693699763,0.002062865782358519,0.0028809712931064635,0.007199267156804416,0.002656411985084301,0.005600740684225486,0.004172194041355283,1.6363916944844732,8.279157230325085,8.2791572303251,1.636391694484479,0.0,0.0,0.0011813690460854682,0.004795289059163422,0.007199267156804416,0.0028809712931064635,0.004547757036261582,0.0025569626213388275,0.014150668694553337,0.038505274752338586,0.0028809712931064622,0.0028809712931064635,0.0,0.004172194041355283,0.005600740684225486,,0.004172194041355283,0.14410628354563426,0.0,0.0,0.0,0.004172194041355283,0.004172194041355262,0.004172194041355283,0.006140592590845968,0.002849598951954863,,0.002727136476943742,0.004172194041355262,0.004172194041355283,0.00417219404135529,0.004172194041355283
HOSbal,0,3.0276503540974917,0.0024180774304322092,0.002220114458040434,0.012782115859213138,0.01003503967126717,0.006221709930356867,0.01151692005883733,0.005865609594703418,7.260241808033055,5.699902533279746,5.699902533279748,7.260241808033056,0.0,0.0,0.007188450739516465,0.008160904601607103,0.01003503967126717,0.012782115859213138,0.0053353523418068335,0.007582704098965162,0.09315560746242099,0.18977091971630713,0.012782115859213131,0.012782115859213138,0.0,0.005865609594703418,0.01151692005883733,,0.005865609594703412,0.20259225523836527,0.0,0.0,0.0,0.005865609594703418,0.005865609594703409,0.005865609594703418,0.01173121918940683,0.0061181628615685196,,0.00586560959470344,0.005865609594703416,0.005865609594703418,0.005865609594703418,0.005865609594703418
HOSbal,1,3.0276503540974917,0.07453166575541288,0.03791515884652711,0.020383374033889585,0.0,0.05321412971622005,0.038730863969150806,0.010191687016944777,11.577756451249286,0.0,0.0,11.577756451249273,0.0,0.0,0.005330077323394364,0.0,0.0,0.020383374033889585,0.0046665572488647925,0.037432930572598534,0.02233800124904044,,0.020383374033889574,0.020383374033889585,0.0,0.010191687016944777,0.038730863969150806,,0.010191687016944777,0.3520083989651708,0.0,0.0,0.0,0.010191687016944777,0.010191687016944777,0.010191687016944777,0.020383374033889574,0.010191687016944777,,0.010191687016944777,0.010191687016944787,0.010191687016944777,0.010191687016944777,0.010191687016944777
HOSbal,2,3.0276503540974917,0.0016436794431556356,0.0019433321123398417,0.006946235084002519,0.008473902041193436,0.003013669298151633,0.006365372128546119,0.0030997917009963245,3.9454615277134177,4.813176359397889,4.813176359397883,3.9454615277134124,0.0,0.0,0.003154795503016308,0.005248184579077583,0.008473902041193436,0.006946235084002519,0.004032897672925468,0.003471541975573864,0.02989311598539277,0.06046374188732293,0.006946235084002483,0.006946235084002519,0.0,0.0030997917009963245,0.006365372128546119,,0.0030997917009963245,0.10706501132570923,0.0,0.0,0.0,0.0030997917009963245,0.003099791700996339,0.0030997917009963245,0.0061995834019926135,0.0030309039740093477,,0.003099791700996302,0.003099791700996312,0.0030997917009963245,0.0030997917009963068,0.0030997917009963245
HOSbal,3,3.0276503540974917,0.001243369855024109,0.0020374220364247934,0.008512424584257595,0.006755202132172165,0.0044165811855131805,0.00853144966646061,0.0043214569396597055,4.835057163858322,3.836954811073783,3.8369548110737797,4.835057163858338,0.0,0.0,0.00618302888153857,0.00646970221568323,0.006755202132172165,0.008512424584257595,0.004020770578943834,0.004837532885109021,0.22668407088425022,0.6777025958375237,0.008512424584257617,0.008512424584257595,0.0,0.0043214569396597055,0.00853144966646061,,0.004321456939659726,0.1492589421613937,0.0,0.0,0.0,0.0043214569396597055,0.0043214569396597055,0.0043214569396597055,0.008642913879319468,0.005493062660544882,,0.004321456939659689,0.004321456939659717,0.0043214569396597055,0.0043214569396597055,0.0043214569396597055
HOSbal,4,3.0276503540974917,0.0015631051705949771,0.0015894111643212335,0.009061154490900841,0.0012990577242475805,0.0067721088980122815,0.006958953668006663,0.004435509524011408,5.1467357508316764,0.7378647873726258,0.7378647873726218,5.146735750831671,0.0,0.0,0.0036520903759230264,0.002857575851181891,0.0012990577242475805,0.009061154490900841,0.002686036961448512,0.008681447009362958,0.027855017595986867,23.884011129923927,0.009061154490900851,0.009061154490900841,0.0,0.004435509524011408,0.006958953668006663,,0.004435509524011401,0.1531970328448988,0.0,0.0,0.0,0.004435509524011408,0.004435509524011432,0.004435509524011408,0.008871019048022878,0.004430617694525981,,0.004435509524011399,0.0044355095240114235,0.004435509524011408,0.004435509524011438,0.004435509524011408
HOSbal,5,3.0276503540974917,0.0020742892477776773,0.002357429695970671,0.009138739144599428,0.007563367896173117,0.003125200596954305,0.005736891449159452,0.002928397875557436,5.190803834132482,4.295992965026312,4.29599296502631,5.1908038341324785,0.0,0.0,0.0044884971010905345,0.004650729633919237,0.007563367896173117,0.009138739144599428,0.0029093594716977284,0.004410652108078869,0.0512011877451154,0.07473128758698355,0.00913873914459944,0.009138739144599428,0.0,0.002928397875557436,0.005736891449159452,,0.0029283978755574565,0.10114355217345222,0.0,0.0,0.0,0.002928397875557436,0.0029283978755574266,0.002928397875557436,0.005856795751114857,0.0028105937417289744,,0.00292839787555739,0.0029283978755574296,0.002928397875557436,0.0029283978755574556,0.002928397875557436
HOSbal,6,3.0276503540974917,0.0012612040337062192,0.0013512058085743313,0.022316679307593,0.0121068516039696,0.009206868289014241,0.008709157251013183,0.0056357892135842635,12.67587384671281,6.876691711054737,6.876691711054735,12.67587384671281,0.0,0.0,0.007653726373812249,0.004596929087294468,0.0121068516039696,0.022316679307593,0.002018675179700715,0.013999341363184372,0.05515707000756995,0.05947169937859051,0.02231667930759297,0.022316679307593,0.0,0.0056357892135842635,0.008709157251013183,,0.0056357892135842635,0.19464928360935876,0.0,0.0,0.0,0.0056357892135842635,0.005635789213584264,0.0056357892135842635,0.011271578427168544,0.003838956552299843,,0.005635789213584248,0.005635789213584288,0.0056357892135842635,0.0056357892135842635,0.0056357892135842635
HOSbal,7,3.0276503540974917,0.18989426331774317,0.1849962459705756,0.020383374033889585,0.0,0.05321412971622005,0.038730863969150806,0.010191687016944777,11.577756451249286,0.0,0.0,11.577756451249273,0.0,0.0,0.005330077323394364,0.0,0.0,0.020383374033889585,0.0046665572488647925,0.037432930572598534,0.02233800124904044,,0.020383374033889574,0.020383374033889585,0.0,0.010191687016944777,0.038730863969150806,,0.010191687016944777,0.3520083989651708,0.0,0.0,0.0,0.010191687016944777,0.010191687016944777,0.010191687016944777,0.020383374033889574,0.010191687016944777,,0.010191687016944777,0.010191687016944787,0.010191687016944777,0.010191687016944777,0.010191687016944777
HOSbal,8,3.0276503540974917,0.0006419636642510676,0.0016604441083019237,0.0028809712931064635,0.009791856157095874,0.003922080591522392,0.008078129679131251,0.004002889490090363,1.6363916944844732,5.561774297230458,5.561774297230455,1.636391694484479,0.0,0.0,0.0023589565628244803,0.0059862544846530025,0.009791856157095874,0.0028809712931064635,0.005835864940303565,0.002316584608357626,0.020240190799197914,0.05339652874942283,0.0028809712931064622,0.0028809712931064635,0.0,0.004002889490090363,0.008078129679131251,,0.004002889490090363,0.1382586922151885,0.0,0.0,0.0,0.004002889490090363,0.004002889490090373,0.004002889490090363,0.008005778980180726,0.0036219923279159176,,0.004002889490090354,0.004002889490090367,0.004002889490090363,0.004002889490090364,0.004002889490090363
