id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,min_samples_leaf,log_loss,rec_score,hamming_loss,cohen_kappa_score,n_estimators,min_samples_split,zero_one_loss,matthews_corrcoef,avg_prec_score,fbeta_score,accuracy,roc_auc_score,imb_sens_micro,f1_score,imb_spec_micro,prec_score
HOS,0,4.5,0.7739841784828811,0.841303247714554,0.7485453034081463,0.6568740955137483,0.7011267733334484,0.39853592448786973,0.7151003167898626,900.5,453.9,237.1,302.5,691.0,1203.0,0.6001133672531044,0.7916620281408061,0.6568740955137483,0.7485453034081463,0.6271235690164965,0.769451513560154,2.6144779549430996,2.186303751061549,0.2514546965918537,0.7485453034081463,5.0,9.840186550815472,0.7151003167898626,0.28489968321013726,0.3973888297280796,3.0,5.0,0.28489968321013726,0.39853592448786973,0.7523010776325614,0.7151003167898626,0.7151003167898626,0.7027096994609472,0.7151003167898626,0.7151003167898626,0.7151003167898626,0.7151003167898626
HOS,1,4.5,0.7955607243348455,0.8535566028314593,0.7686616791354945,0.6642547033285094,0.7144872221488073,0.42755069114319355,0.730570221752904,924.7,459.0,232.0,278.3,691.0,1203.0,0.6228227334504817,0.7994395493050377,0.6642547033285094,0.7686616791354945,0.6427541987085261,0.7836916922509772,2.880267705657409,2.2914125571762627,0.2313383208645054,0.7686616791354945,5.0,9.305872809359414,0.730570221752904,0.26942977824709613,0.4268799121767529,5.0,5.0,0.26942977824709613,0.42755069114319355,0.761453151885747,0.730570221752904,0.730570221752904,0.716458191232002,0.730570221752904,0.730570221752904,0.730570221752904,0.730570221752904
HOS,2,4.5,0.8174463744161065,0.8703085037602032,0.7974231088944306,0.6782923299565847,0.735391180189142,0.4728418160612575,0.7539598732840548,959.3,468.7,222.3,243.7,691.0,1203.0,0.6581037756513036,0.8118926653953151,0.6782923299565847,0.7974231088944306,0.6679512221568902,0.8045523510472016,3.3594930751707657,2.483886556874002,0.20257689110556942,0.7974231088944306,5.0,8.498018770082952,0.7539598732840548,0.24604012671594505,0.4726209382607928,10.0,5.0,0.24604012671594505,0.4728418160612575,0.776121916611903,0.7539598732840548,0.7539598732840548,0.7378577194255075,0.7539598732840548,0.7539598732840547,0.7539598732840548,0.7539598732840548
HOS,3,4.5,0.839399571500578,0.8889330350088207,0.8201995012468828,0.6876989869753979,0.7510223287981594,0.507865507942415,0.7718585005279832,986.7,475.2,215.8,216.3,691.0,1203.0,0.6873005242516017,0.8205356639605128,0.6876989869753979,0.8201995012468828,0.6874713523875375,0.8203561495831302,3.8311524578883414,2.626993501319814,0.17980049875311724,0.8201995012468828,5.0,7.87981934179849,0.7718585005279832,0.22814149947201687,0.5078394786348487,100.0,5.0,0.22814149947201687,0.507865507942415,0.7872174935035341,0.7718585005279832,0.7718585005279832,0.7539492441111404,0.7718585005279832,0.7718585005279831,0.7718585005279832,0.7718585005279832
HOS,4,4.5,0.7610156350561128,0.8318205804363762,0.7355777223607648,0.6461649782923301,0.6893909628332693,0.37460876367270673,0.7029567053854276,884.9,446.5,244.5,318.1,691.0,1203.0,0.5841053902600278,0.7835061402060366,0.6461649782923301,0.7355777223607648,0.613517933973857,0.7587567260272639,2.4476095687149027,2.080046240975857,0.2644222776392352,0.7355777223607648,5.0,10.25961515382705,0.7029567053854276,0.29704329461457235,0.3733142222218329,3.0,50.0,0.2970432946145723,0.37460876367270673,0.7443070480927563,0.7029567053854276,0.7029567053854276,0.6908713503265473,0.7029567053854276,0.7029567053854276,0.7029567053854276,0.7029567053854276
HOS,5,4.5,0.7814069505445264,0.843112862882092,0.7553615960099751,0.6593342981186686,0.7055695833530045,0.40843582939426726,0.7203273495248153,908.7,455.6,235.4,294.3,691.0,1203.0,0.6079830231056257,0.7943056548443408,0.6593342981186686,0.7553615960099751,0.6323917676319517,0.7742282787360866,2.7054211567236868,2.2198975495801916,0.24463840399002496,0.7553615960099751,5.0,9.659650518278383,0.7203273495248153,0.2796726504751848,0.40737058532616616,5.0,50.0,0.2796726504751848,0.40843582939426726,0.7553572167885753,0.7203273495248153,0.7203273495248153,0.7073479470643219,0.7203273495248153,0.7203273495248151,0.7203273495248153,0.7203273495248153
HOS,6,4.5,0.7952037417310558,0.8563870544385355,0.7639235245220283,0.6670043415340088,0.7137115824802576,0.42480198840812494,0.7285638859556495,919.0,460.9,230.1,284.0,691.0,1203.0,0.6189426269361548,0.7998332407715794,0.6670043415340088,0.7639235245220283,0.6419262560240014,0.7813912587767116,2.831097168692413,2.29804368420425,0.23607647547797175,0.7639235245220283,5.0,9.375168390703415,0.7285638859556495,0.2714361140443506,0.4238986482494904,10.0,50.0,0.2714361140443506,0.42480198840812494,0.760939373366041,0.7285638859556494,0.7285638859556495,0.7154639330280185,0.7285638859556495,0.7285638859556495,0.7285638859556495,0.7285638859556495
HOS,7,4.5,0.8108050544165394,0.867648354104532,0.7795511221945137,0.680752532561505,0.7284514384522611,0.4546929997266834,0.7435058078141499,937.8,470.4,220.6,265.2,691.0,1203.0,0.63957907411631,0.80957611063635,0.680752532561505,0.7795511221945137,0.6594764731247893,0.7942573052042939,3.0914974241756115,2.4428084668753156,0.22044887780548633,0.7795511221945137,5.0,8.85908868207007,0.7435058078141499,0.25649419218585007,0.45408155569550523,100.0,50.0,0.25649419218585007,0.4546929997266834,0.771127410153028,0.7435058078141499,0.7435058078141499,0.7301518273780093,0.7435058078141499,0.7435058078141499,0.7435058078141499,0.7435058078141499
HOS,8,4.5,0.7392009003059163,0.8182412497128373,0.6995843724023276,0.640231548480463,0.6689572324853053,0.3312688000423651,0.6779303062302006,841.6,442.4,248.6,361.4,691.0,1203.0,0.5508462353412464,0.772102511783019,0.640231548480463,0.6995843724023276,0.5918611537834877,0.733835943673031,2.1380998444247306,1.9485598761277263,0.3004156275976725,0.6995843724023276,50.0,11.123998089132346,0.6779303062302006,0.3220696937697993,0.3284720992914404,3.0,5.0,0.3220696937697993,0.3312688000423651,0.7309162718478689,0.6779303062302006,0.6779303062302006,0.6699079604413953,0.6779303062302006,0.6779303062302006,0.6779303062302006,0.6779303062302006
HOS,9,4.5,0.7500558781531459,0.8277084273428331,0.7084788029925188,0.6376266280752533,0.6720623509288243,0.3378900050450753,0.6826293558606125,852.3,440.6,250.4,350.7,691.0,1203.0,0.5569451480212082,0.7729277000318033,0.6376266280752533,0.7084788029925188,0.5944913381498098,0.7392570047085064,2.190724471356103,1.9570500612532489,0.29152119700748125,0.7084788029925188,50.0,10.961699424592046,0.6826293558606125,0.3173706441393876,0.33576446205875615,5.0,5.0,0.31737064413938754,0.3378900050450753,0.732796881371877,0.6826293558606125,0.6826293558606125,0.6730527155338859,0.6826293558606125,0.6826293558606125,0.6826293558606125,0.6826293558606125
HOS,10,4.5,0.7627583838281768,0.8356789137697614,0.7179551122194513,0.6564399421128798,0.6863455895469572,0.3655264486027934,0.6955121436114045,863.7,453.6,237.4,339.3,691.0,1203.0,0.5724109217863171,0.7844660839526705,0.6564399421128798,0.7179551122194513,0.6113514529735221,0.7496092132447002,2.3333824595023565,2.0924903479434476,0.28204488778054865,0.7179551122194513,50.0,10.51673821086321,0.6955121436114045,0.30448785638859555,0.36305633842856844,10.0,5.0,0.30448785638859555,0.3655264486027934,0.7423364798276338,0.6955121436114045,0.6955121436114045,0.6871975271661656,0.6955121436114045,0.6955121436114045,0.6955121436114045,0.6955121436114045
HOS,11,4.5,0.7695239710660637,0.8415303809747577,0.727597672485453,0.650506512301013,0.6878820136300117,0.3701356392522393,0.6994720168954593,875.3,449.5,241.5,327.7,691.0,1203.0,0.5785401435963919,0.7838010927382355,0.650506512301013,0.727597672485453,0.6123011189194536,0.7545849322768613,2.391263314137256,2.0831944873314843,0.27240232751454696,0.727597672485453,50.0,10.379970763866183,0.6994720168954593,0.30052798310454065,0.3683502676845691,100.0,5.0,0.30052798310454065,0.3701356392522393,0.7432932658969753,0.6994720168954593,0.6994720168954593,0.6890520923932331,0.6994720168954593,0.6994720168954593,0.6994720168954593,0.6994720168954593
HOS,12,4.5,0.7437996302057207,0.8210609555603146,0.7131338320864506,0.6331403762662807,0.671724112685139,0.3387803754438889,0.6839493136219642,857.9,437.5,253.5,345.1,691.0,1203.0,0.5594668062095136,0.7719962821516698,0.6331403762662807,0.7131338320864506,0.5937573235502773,0.7412343372323849,2.216011012262224,1.9480586322270554,0.28686616791354946,0.7131338320864506,50.0,10.916111007361188,0.6839493136219642,0.31605068637803596,0.33683730800947054,3.0,50.0,0.31605068637803596,0.3387803754438889,0.7327446029211161,0.6839493136219642,0.6839493136219642,0.6731371041763656,0.6839493136219642,0.6839493136219642,0.6839493136219642,0.6839493136219642
HOS,13,4.5,0.7509693566373501,0.8276568353652323,0.7101413133832086,0.6397973950795948,0.6738795479159245,0.34176788191030427,0.6844772967265047,854.3,442.1,248.9,348.7,691.0,1203.0,0.5593233606571961,0.7744752922496566,0.6397973950795948,0.7101413133832086,0.596658548883956,0.7407919162306514,2.212264482940759,1.9750722545781556,0.28985868661679126,0.7101413133832086,50.0,10.897873174973075,0.6844772967265047,0.3155227032734952,0.33953031251191856,5.0,50.0,0.31552270327349524,0.34176788191030427,0.7340750884984892,0.6844772967265047,0.6844772967265047,0.6749693542314017,0.6844772967265047,0.6844772967265047,0.6844772967265047,0.6844772967265047
HOS,14,4.5,0.7586314002740376,0.8334578407029808,0.716375727348296,0.6460202604920406,0.6802234852151503,0.35404302246991165,0.6907074973600845,861.8,446.4,244.6,341.2,691.0,1203.0,0.5669520223413981,0.778934870315613,0.6460202604920406,0.716375727348296,0.6038250629230967,0.7462949830969293,2.281829020197617,2.0259563305953,0.2836242726517041,0.716375727348296,50.0,10.682687853046518,0.6907074973600845,0.3092925026399155,0.35195943684811093,10.0,50.0,0.3092925026399155,0.35404302246991165,0.7381848648922663,0.6907074973600845,0.6907074973600845,0.6811979939201682,0.6907074973600845,0.6907074973600845,0.6907074973600845,0.6907074973600845
HOS,15,4.5,0.769105997668636,0.8411723319773147,0.728927680798005,0.6473227206946455,0.686753793259971,0.3686816998498305,0.6991552270327348,876.9,447.3,243.7,326.1,691.0,1203.0,0.5786707868322645,0.7826051842881739,0.6473227206946455,0.728927680798005,0.6108729265263699,0.754691540243829,2.3934780275633076,2.0690464047034887,0.271072319201995,0.728927680798005,50.0,10.39091322688165,0.6991552270327348,0.3008447729672651,0.3669792461862071,100.0,50.0,0.3008447729672651,0.3686816998498305,0.7426026642031606,0.6991552270327348,0.6991552270327348,0.6881252007463251,0.6991552270327348,0.6991552270327348,0.6991552270327348,0.6991552270327348
HOS,16,4.5,0.7206019562766984,0.8035104984037525,0.6630091438071487,0.6544138929088278,0.6584769805664448,0.30718994650130016,0.6598732840549103,797.6,452.2,238.8,405.4,691.0,1203.0,0.5276537577044941,0.7696348750347959,0.6544138929088278,0.6630091438071487,0.5840268547254684,0.7121621279276795,1.9471218449195593,1.9208280647970504,0.33699085619285124,0.6630091438071487,100.0,11.747661403098096,0.6598732840549103,0.3401267159450898,0.30202504426098203,3.0,5.0,0.3401267159450898,0.30718994650130016,0.7243213866501267,0.6598732840549103,0.6598732840549103,0.6587115183579882,0.6598732840549103,0.6598732840549103,0.6598732840549103,0.6598732840549103
HOS,17,4.5,0.7324558839274221,0.8133310450171332,0.686284289276808,0.6412445730824892,0.6631065426730505,0.31841155346918126,0.6698521647307287,825.6,443.1,247.9,377.4,691.0,1203.0,0.5402896415180145,0.7692642314227351,0.6412445730824892,0.686284289276808,0.5861941515879618,0.7252071949105638,2.0477634818314776,1.918098032266083,0.31371571072319204,0.686284289276808,100.0,11.403006916547303,0.6698521647307287,0.3301478352692714,0.31497500953127044,5.0,5.0,0.33014783526927133,0.31841155346918126,0.727119957443384,0.6698521647307287,0.6698521647307287,0.6637644311796487,0.6698521647307287,0.6698521647307287,0.6698521647307287,0.6698521647307287
HOS,18,4.5,0.7397593810938163,0.8194716712277852,0.6895261845386534,0.6532561505065123,0.6708952434313146,0.3330226454310365,0.6762935586061246,829.5,451.4,239.6,373.5,691.0,1203.0,0.5474918247050811,0.7760569529328611,0.6532561505065123,0.6895261845386534,0.5954596066651191,0.7300519954922012,2.1075487362072387,1.992540510222931,0.3104738154613466,0.6895261845386534,100.0,11.180525549769806,0.6762935586061246,0.3237064413938754,0.3292212943384941,10.0,5.0,0.3237064413938754,0.3330226454310365,0.7322296992770303,0.6762935586061246,0.6762935586061246,0.671391167522583,0.6762935586061246,0.6762935586061246,0.6762935586061246,0.6762935586061246
HOS,19,4.5,0.7456300757994065,0.825219812091197,0.6934330839567747,0.6607814761215629,0.6767793451569608,0.34395611349206634,0.6815205913410771,834.2,456.6,234.4,368.8,691.0,1203.0,0.5532101198992754,0.7807878754072487,0.6607814761215629,0.6934330839567747,0.6021157331407168,0.734438509740355,2.1562870329158152,2.0494971560107538,0.3065669160432252,0.6934330839567747,100.0,10.99998803962395,0.6815205913410771,0.3184794086589229,0.3400984256056268,100.0,5.0,0.3184794086589229,0.34395611349206634,0.7361029275278852,0.6815205913410771,0.6815205913410771,0.6771072800391689,0.6815205913410771,0.6815205913410771,0.6815205913410771,0.6815205913410771
HOS,20,4.5,0.7242335550414845,0.8069905460007665,0.6824605153782212,0.6410998552821996,0.6613121622594733,0.3143130512436887,0.6673706441393875,821.0,443.0,248.0,382.0,691.0,1203.0,0.5373356265823013,0.7679983079224081,0.6410998552821996,0.6824605153782212,0.5844805654738725,0.7225774304282349,2.024153850275341,1.9019806052273172,0.3175394846217789,0.6824605153782212,100.0,11.488715643588394,0.6673706441393875,0.3326293558606125,0.3108340242758336,3.0,50.0,0.3326293558606125,0.3143130512436887,0.7258349996976776,0.6673706441393875,0.6673706441393875,0.6617801853302103,0.6673706441393875,0.6673706441393875,0.6673706441393875,0.6673706441393875
HOS,21,4.5,0.7335665298884962,0.8148618380696456,0.6878636741479635,0.6522431259044862,0.6695810992969149,0.33040359464565683,0.6748680042238647,827.5,450.7,240.3,375.5,691.0,1203.0,0.5459345629926973,0.775052123627311,0.6522431259044862,0.6878636741479635,0.5941053845414207,0.7286721641713504,2.0971201432044424,1.9824799348705866,0.31213632585203654,0.6878636741479635,100.0,11.229762749339216,0.6748680042238647,0.32513199577613516,0.3265862862946988,5.0,50.0,0.32513199577613516,0.33040359464565683,0.731381835315674,0.6748680042238647,0.6748680042238647,0.6700534000262248,0.6748680042238647,0.6748680042238647,0.6748680042238647,0.6748680042238647
HOS,22,4.5,0.74091598067061,0.8206562486873803,0.6916874480465502,0.6502170767004342,0.6704509979262673,0.33236814859448116,0.6765575501583949,832.1,449.3,241.7,370.9,691.0,1203.0,0.5481258387661487,0.7749790265759875,0.6502170767004342,0.6916874480465502,0.5946162874992259,0.7308233283889783,2.114069417040947,1.9797735783661259,0.3083125519534497,0.6916874480465502,100.0,11.171408491141058,0.6765575501583949,0.3234424498416051,0.32888077129272386,10.0,50.0,0.3234424498416051,0.33236814859448116,0.7318520509397496,0.6765575501583949,0.6765575501583949,0.6709522623734923,0.6765575501583949,0.6765575501583949,0.6765575501583949,0.6765575501583949
